input1	synset1ID	synset1Cat	synset1Class	synset1Hypernyms	input2	synset2ID	synset2Cat	synset2Class	synset2Hypernyms	SimplePath	LeacockAndChodorow	WuAndPalmer	Resnik	Lin	JiangAndConrath
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	grausam	704.0	adj	Gefuehl	[peinigend]	0.65	0.31699	0.36364	0.19127	0.38945	0.70015
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	grausam	4557.0	adj	Verhalten	[brutal, gewalttätig]	0.45	0.18381	0.0	0.0	0.0	0.53122
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	schauerlich	799.0	adj	Gefuehl	[beängstigend]	0.5	0.21239	0.0	0.0	0.0	0.46669
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	schauerlich	96289.0	adj	Allgemein	[bös, böse]	0.65	0.31699	0.36364	0.11579	0.21362	0.57377
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	schauerlich	799.0	adj	Gefuehl	[beängstigend]	0.6	0.2783	0.33333	0.19127	0.34409	0.63541
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	schauerlich	96289.0	adj	Allgemein	[bös, böse]	0.4	0.15752	0.0	0.0	0.0	0.43543
hold					gr��lich										
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	dumpf	108344.0	adj	Relation	[unklar]	0.5	0.21239	0.0	0.0	0.0	0.5043
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	dumpf	3150.0	adj	Perzeption	[dunkel]	0.55	0.2437	0.0	0.0	0.0	0.51407
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	dumpf	107490.0	adj	Gefuehl	[langweilig, uninteressant]	0.55	0.2437	0.0	0.0	0.0	0.50662
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	dumpf	108346.0	adj	Perzeption	[miefig, moderig, modrig, muffig]	0.55	0.2437	0.0	0.0	0.0	0.50439
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	dumpf	108344.0	adj	Relation	[unklar]	0.4	0.15752	0.0	0.0	0.0	0.48174
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	dumpf	3150.0	adj	Perzeption	[dunkel]	0.45	0.18381	0.0	0.0	0.0	0.49152
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	dumpf	107490.0	adj	Gefuehl	[langweilig, uninteressant]	0.65	0.31699	0.36364	0.19127	0.37072	0.67534
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	dumpf	108346.0	adj	Perzeption	[miefig, moderig, modrig, muffig]	0.45	0.18381	0.0	0.0	0.0	0.48184
hold					gl�hend										
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	scheu	4738.0	adj	Verhalten	[charakterspezifisch]	0.65	0.31699	0.0	0.0	0.0	0.62102
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	scheu	96734.0	adj	Verhalten	[tierspezifisch]	0.65	0.31699	0.0	0.0	0.0	0.55255
geheimnisvoll					f�rchterlich										
geheimnisvoll					raub										
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	heimlich	1091.0	adj	Gesellschaft	[geheim, geheimgehalten, nicht öffentlich, nichtöffentlich]	0.6	0.2783	0.0	0.0	0.0	0.62504
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	eiskalt	108556.0	adj	Gefuehl	[fühllos, gefühllos, gefühlsarm, gefühlskalt]	0.7	0.36085	0.25	0.15814	0.375	0.73644
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	eiskalt	4450.0	adj	Substanz	[kalt]	0.6	0.2783	0.0	0.0	0.0	0.57839
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	schrecklich	107140.0	adj	Gefuehl	[unangenehm]	0.8	0.47137	0.5	0.19127	0.466	0.78082
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	schrecklich	805.0	adj	Gefuehl	[schlimm] , [beängstigend]	0.75	0.41148	0.44444	0.19127	0.46602	0.78084
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	begierig	1806.0	adj	Gefuehl	[Gefühl empfindend]	0.75	0.41148	0.28571	0.15814	0.38441	0.74675
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	gedankenvoll	548.0	adj	Verhalten	[charakterspezifisch]	0.65	0.31699	0.0	0.0	0.0	0.57546
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	gedankenvoll	549.0	adj	Gefuehl	[deprimiert, elegisch, melancholisch, schwermütig]	0.65	0.31699	0.22222	0.15814	0.29845	0.62828
geheimnisvoll					b�s										
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	seltsam	367.0	adj	Allgemein	[sonderbar]	0.6	0.2783	0.0	0.0	0.0	0.62377
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	seltsam	650.0	adj	Gefuehl	[verwirrt]	0.7	0.36085	0.25	0.15814	0.39326	0.75602
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	seltsam	821.0	adj	Gefuehl	[Gefühl erweckend]	0.95	0.77233	0.85714	0.34823	0.96436	0.98713
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	finster	96494.0	adj	Allgemein	[negativ, schlecht]	0.6	0.2783	0.0	0.0	0.0	0.62381
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	finster	96493.0	adj	Relation	[ungeheuer, unheimlich] , [ungewiss, ungewiß]	0.7	0.36085	0.4	0.19127	0.44287	0.75939
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	finster	3022.0	adj	Perzeption	[dunkel]	0.55	0.2437	0.0	0.0	0.0	0.59355
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	finster	96492.0	adj	Gefuehl	[trüb, trübe]	0.75	0.41148	0.44444	0.19127	0.51354	0.81882
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	grauenvoll	814.0	adj	Gefuehl	[Grauen erregend, grauenerregend]	0.7	0.36085	0.4	0.19127	0.44245	0.75898
geheimnisvoll					d�ster										
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	grausam	704.0	adj	Gefuehl	[peinigend]	0.8	0.47137	0.5	0.19127	0.45761	0.7733
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	grausam	4557.0	adj	Verhalten	[brutal, gewalttätig]	0.6	0.2783	0.0	0.0	0.0	0.60437
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	schauerlich	799.0	adj	Gefuehl	[beängstigend]	0.75	0.41148	0.44444	0.19127	0.39624	0.70856
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	schauerlich	96289.0	adj	Allgemein	[bös, böse]	0.55	0.2437	0.0	0.0	0.0	0.50858
geheimnisvoll					gr��lich										
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	dumpf	108344.0	adj	Relation	[unklar]	0.55	0.2437	0.0	0.0	0.0	0.55489
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	dumpf	3150.0	adj	Perzeption	[dunkel]	0.6	0.2783	0.0	0.0	0.0	0.56467
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	dumpf	107490.0	adj	Gefuehl	[langweilig, uninteressant]	0.8	0.47137	0.5	0.19127	0.43197	0.74848
geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	dumpf	108346.0	adj	Perzeption	[miefig, moderig, modrig, muffig]	0.6	0.2783	0.0	0.0	0.0	0.55498
geheimnisvoll					gl�hend										
scheu					f�rchterlich										
scheu					raub										
