input1	synset1ID	synset1Cat	synset1Class	synset1Hypernyms	input2	synset2ID	synset2Cat	synset2Class	synset2Hypernyms	SimplePath	LeacockAndChodorow	WuAndPalmer	Resnik	Lin	JiangAndConrath
Mord	20741.0	nomen	Geschehen	[Bluttat]	Kummer	16204.0	nomen	Gefuehl	[Emotion, Empfinden, Empfindung, Feeling, Gefühl, Gemütsbewegung]	0.68571	0.30657	0.35294	0.07994	0.21276	0.7042
Mord	20741.0	nomen	Geschehen	[Bluttat]	Geheimnis	30874.0	nomen	Kommunikation	[Info, Information]	0.57143	0.22629	0.0	0.0	0.0	0.59005
Mord					Verh�ngnis										
Mord	20741.0	nomen	Geschehen	[Bluttat]	Traum	87506.0	nomen	Kommunikation	[Wunsch]	0.65714	0.28424	0.33333	0.07994	0.20022	0.68066
Mord	20741.0	nomen	Geschehen	[Bluttat]	Traum	28629.0	nomen	Kognition	[Perzeption, Wahrnehmung]	0.71429	0.33085	0.375	0.07994	0.20005	0.68033
Mord					R�tsel										
Mord	20741.0	nomen	Geschehen	[Bluttat]	Raub	75678.0	nomen	Besitz	[Beute, Beutegut, Diebesbeute, Diebesgut]	0.57143	0.22629	0.11765	0.06249	0.13379	0.59538
Mord	20741.0	nomen	Geschehen	[Bluttat]	Raub	15394.0	nomen	Besitz	[Delikt, Gesetzesbruch, Gesetzesverstoß, Rechtsbruch, Strafdelikt, Straftat, Tat, Verbrechen] , [Besitzwechsel]	0.88571	0.55088	0.75	0.30754	0.72152	0.8813
Mord	20741.0	nomen	Geschehen	[Bluttat]	Rache	21129.0	nomen	Geschehen	[Ahndung, Bestrafung, Strafe, Vergeltung]	0.8	0.41972	0.58824	0.11482	0.27052	0.69037
Mord	20741.0	nomen	Geschehen	[Bluttat]	Gram	16055.0	nomen	Gefuehl	[Traurigkeit]	0.62857	0.26356	0.31579	0.07994	0.17199	0.61513
Mord	20741.0	nomen	Geschehen	[Bluttat]	Reue	16375.0	nomen	Gefuehl	[Bedauern]	0.65714	0.28424	0.33333	0.07994	0.16881	0.60638
Mord	20741.0	nomen	Geschehen	[Bluttat]	Schrecken	11189.0	nomen	Artefakt	[Figur]	0.51429	0.19343	0.0	0.0	0.0	0.55964
Mord	20741.0	nomen	Geschehen	[Bluttat]	Schrecken	16346.0	nomen	Gefuehl	[Angst, Bammel, Bangigkeit, Fracksausen, Furcht, Furchtsamkeit, Muffe, Muffensausen, Schiss]	0.65714	0.28424	0.33333	0.07994	0.18403	0.64554
Mord	20741.0	nomen	Geschehen	[Bluttat]	Schwert	8387.0	nomen	Artefakt	[Hiebwaffe]	0.48571	0.17834	0.0	0.0	0.0	0.58357
Mord	20741.0	nomen	Geschehen	[Bluttat]	Schwert	75918.0	nomen	Artefakt	[Platte]	0.54286	0.20938	0.0	0.0	0.0	0.57241
